🚀 Starting Soak Test: duration=180 s
Module Manager initialized successfully
[MODULE] Communication manager status check: result=-3, status=-1795186560
[SOAK] t=90s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=91s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=92s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=93s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=94s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=95s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=96s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=97s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=98s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=99s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=100s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=101s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=102s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=103s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=104s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=105s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=106s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=107s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=108s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=109s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=110s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=111s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=112s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=113s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=114s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=115s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=116s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=117s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=118s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=119s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=120s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=121s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=122s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=123s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=124s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=125s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=126s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=127s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=128s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=129s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=130s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=131s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=132s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=133s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=134s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=135s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=136s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=137s timeouts=0 crc=0 flap=0 rss=580 kB
[SOAK] t=138s timeouts=0 crc=0 flap=0 rss=580 kB
